speaker_id,folder_id,file_id,file_name,extension,session,session_key,task,variant,textgrid_role,text,info_sex,info_age,info_l1_english,info_l1_other,info_l2_english_l1,info_l2_english_aoa,info_db_session,info_db_clipping,regex_like,regex_well,regex_so,hybrid_like,hybrid_well,hybrid_so,parsed_like,parsed_well,parsed_so,removed_like,removed_well,removed_so,regex_ambiguous_total,hybrid_ambiguous_total,removed_ambiguous_total,hybrid_occurrences_json
153,38657303973,227516146891,153C_annoyed.TextGrid,textgrid,C,153C,annoyed,,orthographic,"He said that he's gonna clean the bathroom today and I was so upset because I don't know I said that I'm gonna clean the bathroom next week that's why I didn't clean the bathroom but he didn't clean the bathroom either so I was like I don't know why to do like he's so lazy I just I just don't know how to deal with him you know like he's supposed to do his like chore and every time I need to clean for him that's like I'm like so tired of like I don't know it's just like it I don't, I don't think this is gonna work just makes me so upset.",M,22,N,NA,Korean,9,C,OK,8,0,5,8,0,1,8,0,5,0,0,4,13,9,4,"[{""start"": 59, ""end"": 61, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""upset"", ""hybrid_is_filler"": false}, {""start"": 219, ""end"": 221, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 228, ""end"": 232, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""know"", ""hybrid_is_filler"": true}, {""start"": 256, ""end"": 260, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""mark"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 266, ""end"": 268, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""lazy"", ""hybrid_is_filler"": false}, {""start"": 329, ""end"": 333, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""mark"", ""head_lemma"": ""suppose"", ""hybrid_is_filler"": true}, {""start"": 358, ""end"": 362, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""amod"", ""head_lemma"": ""chore"", ""hybrid_is_filler"": true}, {""start"": 415, ""end"": 419, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""SCONJ"", ""dep"": ""mark"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 424, ""end"": 428, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 429, ""end"": 431, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""tired"", ""hybrid_is_filler"": false}, {""start"": 441, ""end"": 445, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""of"", ""hybrid_is_filler"": true}, {""start"": 469, ""end"": 473, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""ADP"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 533, ""end"": 535, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""upset"", ""hybrid_is_filler"": false}]"
153,38657303973,227516545694,153B_phonecall.TextGrid,textgrid,B,153B,phonecall,,orthographic,"Hello, hi friend uh how are you? uh I'm doing fine. So how, how's been your life so far oh oh r- +really so you have you have a lot of exams this week yeah you're t- I've been so busy too uh excuse me uh I just have been busy, yeah uh I just took two midterms, and I have one project due last night and yeah it was crazy night oh I stay up on Wednesday but yeah I I I had a slate last night. yeah yeah so um what are gonna do in the spring break? just sleep oh okay oh okay um I d- I'm not sure, I think um I'm gonna go to um northern California to meet my brother because he uh go to uh U C uh U C Davis med- +medical school so I probab- +probably yeah, I s- I probably um gonna stay with him or I just gonna stay at my home, so I don't have a plan yet oh okay interesting okay um, I will talk to you later okay, okay bye",M,22,N,NA,Korean,9,B,OK,0,0,7,0,0,3,0,0,7,0,0,4,7,3,4,"[{""start"": 52, ""end"": 54, ""surface"": ""So"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 81, ""end"": 83, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""far"", ""hybrid_is_filler"": false}, {""start"": 105, ""end"": 107, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""have"", ""hybrid_is_filler"": true}, {""start"": 176, ""end"": 178, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""busy"", ""hybrid_is_filler"": false}, {""start"": 402, ""end"": 404, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""go"", ""hybrid_is_filler"": true}, {""start"": 626, ""end"": 628, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""SCONJ"", ""dep"": ""advmod"", ""head_lemma"": ""probab-"", ""hybrid_is_filler"": false}, {""start"": 727, ""end"": 729, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""SCONJ"", ""dep"": ""mark"", ""head_lemma"": ""have"", ""hybrid_is_filler"": false}]"
153,38657303973,227516400634,153B_annoyed.TextGrid,textgrid,B,153B,annoyed,,orthographic,"Uh my my mom said that uh we're p- we're going to go to Oh key now uh for the uh spring break but I don't understand it because I said that I wanted to go to Tokyo and now we go to oh key now uh so I was like what she was thinking I understand that Tokyo is a lot more expensive than oh key now uh but come on we I told he like million times and just she change her mind and she just made it by herself like without even talking to us I think that's so mean, like you know",M,22,N,NA,Korean,9,C,OK,4,0,2,2,0,1,4,0,2,2,0,1,6,3,3,"[{""start"": 195, ""end"": 197, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 204, ""end"": 208, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head_lemma"": ""be"", ""hybrid_is_filler"": false}, {""start"": 323, ""end"": 327, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""tell"", ""hybrid_is_filler"": true}, {""start"": 403, ""end"": 407, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""ADP"", ""dep"": ""prep"", ""head_lemma"": ""make"", ""hybrid_is_filler"": false}, {""start"": 450, ""end"": 452, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""mean"", ""hybrid_is_filler"": false}, {""start"": 459, ""end"": 463, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}]"
153,38657303973,227516346989,153A_neutral.TextGrid,textgrid,A,153A,neutral,,orthographic,First he told me that I failed the exam. uh I don't understand why because I told him that I studied a lot and I think I did well on the midterm exam but he told me that I failed it so um I think I need to go to the um office hour to check what went wrong so I can autom- +automatic I'm s- still not sure what to do but I will figure it out when I go to the o- th- uh my T A's office.,M,22,N,NA,Korean,9,A,pos_min_clip,0,1,2,0,0,1,0,1,2,0,1,1,3,1,2,"[{""start"": 125, ""end"": 129, ""surface"": ""well"", ""lemma"": ""well"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""do"", ""hybrid_is_filler"": false}, {""start"": 182, ""end"": 184, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""think"", ""hybrid_is_filler"": true}, {""start"": 256, ""end"": 258, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""SCONJ"", ""dep"": ""mark"", ""head_lemma"": ""can"", ""hybrid_is_filler"": false}]"
225,121686792545,712691411933,225C_neutral.TextGrid,textgrid,C,225C,neutral,,orthographic,so first my friend jorge told me that he's really really into programming uh web sites and then i said wow that's really cool jorge where did you learn that skill from and then jorge said that he learned that skill from online 'cause there's this website called code academy and then i said wow that's really cool actually because i've never heard of it but i really wanna do a lot of web development design in the future and he said oh wow that's really cool so,M,18,Y,Spanish,NA,NA,A,OK,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,"[{""start"": 0, ""end"": 2, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""tell"", ""hybrid_is_filler"": true}, {""start"": 460, ""end"": 462, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""ROOT"", ""head_lemma"": ""so"", ""hybrid_is_filler"": true}]"
225,121686792545,712691614883,225B_happy.TextGrid,textgrid,B,225B,happy,,orthographic,so yesterday I went to sunset rec and I went swimming and I had the greatest conversation with the guy in the lane next to me because I he asked me if he could share the lane with me and then I told him yeah sure and then I asked him where are you from and then he said he's from San Jose and then I said I'm from San Jose too and it turns out that we went to the highschool down the street and he said that's amazing,M,18,Y,Spanish,NA,NA,B,OK,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,"[{""start"": 0, ""end"": 2, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""go"", ""hybrid_is_filler"": true}]"
225,121686792545,712687687647,225A_neutral.TextGrid,textgrid,A,225A,neutral,,orthographic,yeah so i was uh eating lunch with my friend parth and first i told him that i had gone to class an hour before and i really liked what my math teacher was talking about and then he said that he also really likes that math class but he didn't like it as much as he did the one that last quarter he took and i said i don't like math class at all so i'm happy,M,18,Y,Spanish,NA,NA,A,OK,2,0,2,0,0,2,2,0,2,2,0,0,4,2,2,"[{""start"": 5, ""end"": 7, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""eat"", ""hybrid_is_filler"": true}, {""start"": 243, ""end"": 247, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""VERB"", ""dep"": ""ROOT"", ""head_lemma"": ""like"", ""hybrid_is_filler"": false}, {""start"": 322, ""end"": 326, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""VERB"", ""dep"": ""ccomp"", ""head_lemma"": ""say"", ""hybrid_is_filler"": false}, {""start"": 345, ""end"": 347, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}]"
225,121686792545,712691576192,225B_phonecall.TextGrid,textgrid,B,225B,phonecall,,orthographic,hi mom i'm good how are you so i'm doing an experiment for my linguistics class 'cause they give me extra credit if i actually go and like i'm a participant in the studies anything well it's the i it's just a normal conversation and then i figured that we could just use as our call too 'cause i've been busy hah yeah huh uhuh what i was thinking is ye what i was thinking is i'll stay in l a for like the month and a half and take like i think i'm just gonna take one class instead of two and then i have like a month and a half so i can just stay in ss uh santa cruz and that'll be kind of perfect too 'cause it's like august to uh september you know or we could do that yeah i mean i wasn't planning on doing anything anyways so that's that should be fine mhmm mhmm that's it could be fun yeah mhmm i will think about that okay wait yeah i know that would be fun yeah i was yeah it is okay wait the last thing on 'cause i i have to like hang up in a minute or so but like for yeah i'll call i'll call you later but like um first do you think you k okay i paid fifty dollars for one of my textbooks um huh and then do you think you could do you think i could get my allowance for next month this month no i'm i i'm gonna get a job in the summer but yeah maybe oh and maybe 'cause i've i've been trying to get more involved in other organizations too so like alright no right you're right you're right mm mm yeah okay okay wait i'm gonna let you go and then i'll i i'll just call you in a couple hours actually 'cause i'm gonna go back okay love you bye,M,18,Y,Spanish,NA,NA,B,OK,9,1,5,9,1,4,9,1,5,0,0,1,15,14,1,"[{""start"": 28, ""end"": 30, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""do"", ""hybrid_is_filler"": true}, {""start"": 134, ""end"": 138, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 181, ""end"": 185, ""surface"": ""well"", ""lemma"": ""well"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 397, ""end"": 401, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""stay"", ""hybrid_is_filler"": true}, {""start"": 432, ""end"": 436, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""think"", ""hybrid_is_filler"": true}, {""start"": 506, ""end"": 510, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""have"", ""hybrid_is_filler"": true}, {""start"": 530, ""end"": 532, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""SCONJ"", ""dep"": ""dep"", ""head_lemma"": ""stay"", ""hybrid_is_filler"": false}, {""start"": 616, ""end"": 620, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 729, ""end"": 731, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 935, ""end"": 939, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""hang"", ""hybrid_is_filler"": true}, {""start"": 963, ""end"": 965, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""punct"", ""head_lemma"": ""hang"", ""hybrid_is_filler"": true}, {""start"": 970, ""end"": 974, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""for"", ""hybrid_is_filler"": true}, {""start"": 1018, ""end"": 1022, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""think"", ""hybrid_is_filler"": true}, {""start"": 1352, ""end"": 1354, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""ROOT"", ""head_lemma"": ""so"", ""hybrid_is_filler"": true}, {""start"": 1355, ""end"": 1359, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""so"", ""hybrid_is_filler"": true}]"
226,121687495676,712692876050,226C_neutral.TextGrid,textgrid,C,226C,neutral,,orthographic,oh first he said um hello and then i said hey back um and then he said where are you going right now and then i said oh i'm headed to a psych experiment first he said hey and then i said hi right back and then he asked me where i was going and then i said that i was heading to psych experiment and then he was like whoa that's pretty cool um and then i asked him uh where he was headed and he's headed back to his apartment um so i said that maybe after the psych experiment i could head back to his apartment and we could relax for the rest the day,M,22,Y,NA,NA,NA,B,OK,1,0,1,1,0,1,1,0,1,0,0,0,2,2,0,"[{""start"": 311, ""end"": 315, ""surface"": ""like"", ""lemma"": ""like"", ""pos"": ""INTJ"", ""dep"": ""intj"", ""head_lemma"": ""be"", ""hybrid_is_filler"": true}, {""start"": 428, ""end"": 430, ""surface"": ""so"", ""lemma"": ""so"", ""pos"": ""ADV"", ""dep"": ""advmod"", ""head_lemma"": ""say"", ""hybrid_is_filler"": true}]"
226,121687495676,712692055590,226B_happy.TextGrid,textgrid,B,226B,happy,,orthographic,first I said hello um then my friend said hi back um then he asked me where I was and I said I was at class since eight um and he said um what was your class on uh I said that it was spanish I asked him if he um had class at all yet and he said no he had just woken up and uh he was doing his daily run and I said great,M,22,Y,NA,NA,NA,B,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[]
